"Year","Nibb","seNibb","Index","seIndex"
2007,6555.42743872703,961.379283113846,4816.20682397878,893.39913569445
2008,7733.35527031241,939.360396934454,5748.88077443923,1191.20118795882
2009,7072.03747730924,1226.83984376437,5224.29377755009,1353.93853390957
2010,6892.10510808859,987.105122259558,5094.74270169615,1102.68785574561
2011,10562.8277266656,1258.21346975791,7798.0984185481,1343.61019689984
2012,6228.67634883739,679.24337513619,4631.63471765462,805.739965273798
2013,9995.858438828,1302.22372489113,7433.26103551831,1746.95448815415
2014,9651.8484719072,1382.35087449111,7103.33028723992,1310.89600400122
2015,7745.83290265484,969.848040551989,5735.91785052616,1053.18388399151
2016,5969.80802771055,892.467125275415,4431.0195685689,1009.6054671978
2017,5951.05503097574,1073.75099839157,4465.45047439874,1628.22756027462
2018,6418.97594962714,1276.31237527841,4761.26108578453,1364.14414166934
2019,5108.30440894314,725.799798642771,3753.52676379353,827.856591636726
