year,ice.RCP4.5,ice.RCP8.5,ice.obs
1951,44.70502587,44.2982606,NA
1952,55.9764745,55.48364225,NA
1953,35.38273972,35.14748095,NA
1954,61.56727648,61.22739678,NA
1955,48.58775084,47.94762209,NA
1956,45.86856235,45.26923964,NA
1957,62.32870257,61.68758353,NA
1958,57.01200174,56.68267328,NA
1959,65.14984611,64.57365413,NA
1960,54.93149473,54.47701974,NA
1961,53.7660586,53.34943399,NA
1962,57.88635661,57.36691987,NA
1963,50.02462354,49.37830427,NA
1964,59.33661409,58.67618523,NA
1965,68.97688459,68.7144169,NA
1966,61.91111403,61.27721728,NA
1967,79.47052899,79.0010996,NA
1968,66.03517308,65.25752902,NA
1969,56.70522234,56.13774398,NA
1970,61.0033065,60.51942941,NA
1971,64.11223227,63.58762385,NA
1972,38.80578113,38.28693976,NA
1973,58.39452263,57.80142559,NA
1974,53.67457866,53.24493835,NA
1975,66.81380961,66.10570527,NA
1976,61.51163054,60.91335866,NA
1977,59.68304791,59.02231999,NA
1978,63.336193,62.70523906,NA
1979,56.36171972,55.99412347,NA
1980,54.21897216,53.9177825,41
1981,53.78780313,53.32510406,31
1982,53.93448456,53.3615911,31
1983,59.06413075,58.33499914,21
1984,60.81675514,60.11476331,17
1985,62.29820856,61.82304264,17
1986,38.46220278,38.14008567,19
1987,50.69738328,50.21080834,24
1988,53.93816596,53.61980324,58
1989,52.75883266,52.2076708,56
1990,66.70336562,65.94732004,77
1991,51.84667752,51.27370655,77
1992,48.02222887,47.55977867,70
1993,47.01214828,46.44900662,60
1994,55.70467646,55.24188364,61
1995,53.81603963,53.3653811,89
1996,65.37844143,64.77039224,62
1997,47.96368507,47.37872917,56
1998,37.12385133,37.04330139,80
1999,35.19957164,34.9221525,79
2000,38.66812812,38.33443522,88
2001,37.37482199,37.26331088,12
2002,29.85272912,29.84953654,73
2003,35.59834148,35.28013815,47
2004,31.62969204,31.40452581,48
2005,32.59661091,32.45942069,38
2006,36.19716891,47.39119572,96
2007,27.6242085,44.84760184,66
2008,25.29118116,16.59613901,75
2009,38.6276418,22.4557727,86
2010,48.09601429,34.26219927,96
2011,43.63504026,23.90262769,73
2012,57.06740963,44.43451829,78
2013,34.44240769,37.42084255,85
2014,33.36122628,31.37346167,48
2015,33.17778854,28.66792941,22
2016,34.07876989,31.99796215,19
2017,26.05314601,27.88238944,31
2018,27.62469686,24.69735619,0
2019,28.76784483,30.86265749,NA
2020,22.36488701,21.74560733,NA
2021,18.75760237,28.72019008,NA
2022,18.98467535,25.3562675,NA
2023,29.66906908,37.87512187,NA
2024,13.92302815,23.89698348,NA
2025,15.92650412,27.49435098,NA
2026,16.23422404,19.06386774,NA
2027,29.49304764,17.08221344,NA
2028,26.72125465,10.06016101,NA
2029,39.14406736,18.20143029,NA
2030,15.10356964,16.49210444,NA
2031,32.15664087,11.67308246,NA
2032,26.40730503,25.11534566,NA
2033,19.54769859,8.048250023,NA
2034,19.17332282,24.58013582,NA
2035,29.42350934,19.44205152,NA
2036,17.58301727,23.18373358,NA
2037,19.40497469,23.12757321,NA
2038,17.98152824,24.68616815,NA
2039,20.93974879,18.71593815,NA
2040,21.70974441,22.59608562,NA
2041,21.6932015,18.35174403,NA
2042,14.49102145,18.70247967,NA
2043,12.41406237,18.05460808,NA
2044,13.61465603,10.91042859,NA
2045,14.08045038,15.62525246,NA
2046,20.63881419,6.508413514,NA
2047,21.92006239,12.04359837,NA
2048,19.05931586,12.97482091,NA
2049,2.268886357,6.85956335,NA
2050,18.8780521,4.181118895,NA
2051,15.66411037,13.65658639,NA
2052,19.48081301,15.46131582,NA
2053,20.29646766,6.085442105,NA
2054,15.34929396,5.029412661,NA
2055,16.41679829,9.852276346,NA
2056,14.85818397,4.073043628,NA
2057,10.61780804,6.005342591,NA
2058,15.96323732,11.36777326,NA
2059,8.501118008,8.818026264,NA
2060,13.7990332,1.511667126,NA
2061,5.109490115,5.854184633,NA
2062,9.913913621,6.289472199,NA
2063,6.332094263,2.819218031,NA
2064,4.183259166,0.408060188,NA
2065,26.71779558,11.98150194,NA
2066,6.607199237,3.302593428,NA
2067,7.767964929,7.893810488,NA
2068,7.431321678,6.202279669,NA
2069,15.56739849,3.907959389,NA
2070,15.54639295,2.944395655,NA
2071,14.6337605,11.69975483,NA
2072,15.23318737,4.087866146,NA
2073,7.363872606,3.329293266,NA
2074,6.689868146,0,NA
2075,9.402951234,2.67825713,NA
2076,9.119472583,1.409609016,NA
2077,6.168668436,7.770055844,NA
2078,15.70059237,2.819218031,NA
2079,10.90519679,0.510075234,NA
2080,2.233138162,0,NA
2081,5.151796635,0,NA
2082,8.509990107,2.552634339,NA
2083,11.49117518,0.728927845,NA
2084,4.458150096,0.986726311,NA
2085,11.02879316,0.839816823,NA
2086,16.89184032,1.511624063,NA
2087,14.66836482,2.255374425,NA
2088,3.045439052,0,NA
2089,0.484591731,0.140960902,NA
2090,6.317747125,0,NA
2091,12.89338301,0,NA
2092,6.792236225,0.227726542,NA
2093,3.811533036,0.102015047,NA
2094,13.38177004,0,NA
2095,22.15984502,0,NA
2096,10.80478106,0,NA
2097,2.594581548,0,NA
2098,7.096254549,0,NA
2099,8.249113126,0.306045141,NA
2100,5.219515432,0,NA
