year,ns.obs.gs,sigma.ns.obs,f.cs.obs.gs,f.sigma.cs.obs,no.obs.f,cs.obs.gs,cs.obs.se
1992,0.92,0.05,2.75,0.4,0.92,5.5,0.1
1993,0.634,0.07,2.6,0.55,0.7,5.2,0.127872403
1994,0.671,0.07,2.7,0.45,0.82,5.4,0.107570575
1995,0.642,0.06,2.35,0.55,0.83,4.7,0.114682928
1996,0.813,0.05,2.55,0.4,0.92,5.1,0.077702869
1997,0.796,0.04,2.45,0.4,0.83,4.9,0.069631062
1998,0.835,0.05,2.25,0.4,0.87,4.5,0.078446454
1999,0.668,0.05,2.4,0.45,0.71,4.8,0.081818182
2000,0.751,0.05,2.5,0.55,0.82,5,0.101695036
2001,0.063,0.03,2,0.45,0.02,4,0.191880645
2002,0.707,0.05,2.6,0.55,0.77,5.2,0.091986621
2003,0.391,0.05,2.35,0.65,0.47,4.7,0.113581527
2004,0.685,0.05,2.5,0.55,0.81,5,0.090726471
2005,0.835,0.04,2.4,0.5,NA,4.8,0.08247861
2006,0.716,0.04,2.45,0.5,NA,4.9,0.076923077
2007,0.914,0.03,2.6,0.45,NA,5.2,0.067082039
2008,0.63,0.05,2.55,0.45,NA,5.1,0.078633365
2009,0.657,0.06,2.3,0.55,NA,4.6,0.11111678
2010,0.756,0.05,2.3,0.6,NA,4.6,0.110468954
2011,0.579,0.06,2.35,0.55,NA,4.7,0.10394023
2012,0.677,0.06,2.25,0.45,NA,4.5,0.081482171
2013,0.215,0.04,2.4,0.55,NA,4.8,0.114682928
2014,0.379,0.08,2.35,0.6,NA,4.7,0.12
2015,0.045,0.02,2,0.7,NA,4,0.166149432
