year,const.exp,exp.2008,exp.2026,current.exp
1988,0.1184,0.1184,0.1184,0.1184
1989,0.1184,0.1184,0.1184,0.1184
1990,0.1184,0.1184,0.1184,0.1184
1991,0.1184,0.1184,0.1184,0.1184
1992,0.1184,0.1184,0.1184,0.1184
1993,0.1184,0.1184,0.1184,0.1184
1994,0.1184,0.1184,0.1184,0.1184
1995,0.1184,0.1184,0.1184,0.1184
1996,0.1184,0.1184,0.1184,0.1184
1997,0.1184,0.1184,0.1184,0.1184
1998,0.1184,0.1184,0.1184,0.1184
1999,0.1184,0.1184,0.1184,0.1184
2000,0.1184,0.1184,0.1184,0.1184
2001,0.1184,0.1184,0.1184,0.1184
2002,0.1184,0.1184,0.1184,0.1184
2003,0.1184,0.1184,0.1184,0.1184
2004,0.1184,0.1184,0.1184,0.1184
2005,0.1184,0.1184,0.1184,0.1184
2006,0.1184,0.1184,0.1184,0.1184
2007,0.1184,0.1184,0.1184,0.1184
2008,0.1184,0.11047,0.1184,0.11047
2009,0.1184,0.10307,0.1184,0.10307
2010,0.1184,0.09617,0.1184,0.09617
2011,0.1184,0.08973,0.1184,0.08973
2012,0.1184,0.08372,0.1184,0.08372
2013,0.1184,0.07811,0.1184,0.07811
2014,0.1184,0.07288,0.1184,0.07288
2015,0.1184,0.068,0.1184,0.068
2016,0.1184,0.06345,0.1184,0.06345
2017,0.1184,0.0592,0.1184,0.0592
2018,0.1184,0.05524,0.1184,0.05524
2019,0.1184,0.05154,0.1184,0.05154
2020,0.1184,0.04809,0.1184,0.05154
2021,0.1184,0.04487,0.1184,0.05154
2022,0.1184,0.04186,0.1184,0.05154
2023,0.1184,0.03906,0.1184,0.05154
2024,0.1184,0.03644,0.1184,0.05154
2025,0.1184,0.034,0.1184,0.05154
2026,0.1184,0.03172,0.11047,0.05154
2027,0.1184,0.0296,0.10307,0.05154
2028,0.1184,0.02762,0.09617,0.05154
2029,0.1184,0.02577,0.08973,0.05154
2030,0.1184,0.02404,0.08372,0.05154
2031,0.1184,0.02243,0.07811,0.05154
2032,0.1184,0.02093,0.07288,0.05154
2033,0.1184,0.01953,0.068,0.05154
2034,0.1184,0.01822,0.06345,0.05154
2035,0.1184,0.017,0.0592,0.05154
2036,0.1184,0.01586,0.05524,0.05154
2037,0.1184,0.0148,0.05154,0.05154
2038,0.1184,0.01381,0.04809,0.05154
2039,0.1184,0.01288,0.04487,0.05154
2040,0.1184,0.01202,0.04186,0.05154
2041,0.1184,0.01122,0.03906,0.05154
2042,0.1184,0.01047,0.03644,0.05154
2043,0.1184,0.00976,0.034,0.05154
2044,0.1184,0.00911,0.03172,0.05154
2045,0.1184,0.0085,0.0296,0.05154
2046,0.1184,0.00793,0.02762,0.05154
2047,0.1184,0.0074,0.02577,0.05154
2048,0.1184,0.0069,0.02404,0.05154
2049,0.1184,0.00644,0.02243,0.05154
2050,0.1184,0.00601,0.02093,0.05154
2051,0.1184,0.00561,0.01953,0.05154
2052,0.1184,0.00523,0.01822,0.05154
2053,0.1184,0.00488,0.017,0.05154
2054,0.1184,0.00456,0.01586,0.05154
2055,0.1184,0.00425,0.0148,0.05154
2056,0.1184,0.00397,0.01381,0.05154
2057,0.1184,0.0037,0.01288,0.05154
2058,0.1184,0.00345,0.01202,0.05154
2059,0.1184,0.00322,0.01122,0.05154
2060,0.1184,0.00301,0.01047,0.05154
2061,0.1184,0.0028,0.00976,0.05154
2062,0.1184,0.00262,0.00911,0.05154
2063,0.1184,0.00244,0.0085,0.05154
2064,0.1184,0.00228,0.00793,0.05154
2065,0.1184,0.00213,0.0074,0.05154
2066,0.1184,0.00198,0.0069,0.05154
2067,0.1184,0.00185,0.00644,0.05154
2068,0.1184,0.00173,0.00601,0.05154
2069,0.1184,0.00161,0.00561,0.05154
2070,0.1184,0.0015,0.00523,0.05154
2071,0.1184,0.0014,0.00488,0.05154
2072,0.1184,0.00131,0.00456,0.05154
2073,0.1184,0.00122,0.00425,0.05154
2074,0.1184,0.00114,0.00397,0.05154
2075,0.1184,0.00106,0.0037,0.05154
2076,0.1184,0.00099,0.00345,0.05154
2077,0.1184,0.00092,0.00322,0.05154
2078,0.1184,0.00086,0.00301,0.05154
2079,0.1184,0.00081,0.0028,0.05154
2080,0.1184,0.00075,0.00262,0.05154
2081,0.1184,0.000701019,0.00244109,0.05154
2082,0.1184,0.000654074,0.002277617,0.05154
2083,0.1184,0.000610272,0.002125092,0.05154
2084,0.1184,0.000569404,0.001982781,0.05154
2085,0.1184,0.000531273,0.00185,0.05154
2086,0.1184,0.000495695,0.001726111,0.05154
2087,0.1184,0.0004625,0.001610519,0.05154
2088,0.1184,0.000431528,0.001502667,0.05154
2089,0.1184,0.00040263,0.001402038,0.05154
2090,0.1184,0.000375667,0.001308148,0.05154
2091,0.1184,0.000350509,0.001220545,0.05154
2092,0.1184,0.000327037,0.001138809,0.05154
2093,0.1184,0.000305136,0.001062546,0.05154
2094,0.1184,0.000284702,0.00099139,0.05154
2095,0.1184,0.000265636,0.000925,0.05154
2096,0.1184,0.000247848,0.000863056,0.05154
2097,0.1184,0.00023125,0.000805259,0.05154
2098,0.1184,0.000215764,0.000751333,0.05154
2099,0.1184,0.000201315,0.000701019,0.05154
2100,0.1184,0.000187833,0.000654074,0.05154
