year,ice.RCP4.5,ice.RCP8.5,ice.obs
1951,59.81845206,61.36250271,NA
1952,58.1185318,60.91058658,NA
1953,45.48922174,48.30072326,NA
1954,43.11470213,43.89893905,NA
1955,49.5959059,50.47884385,NA
1956,59.68226402,60.31205222,NA
1957,53.49841369,54.41959079,NA
1958,52.40521106,54.18171244,NA
1959,63.6515846,62.72432742,NA
1960,43.94874462,44.55923915,NA
1961,49.65633422,50.17722809,NA
1962,58.45995495,58.0081757,NA
1963,61.60349139,62.8568023,NA
1964,52.96152344,52.06060696,NA
1965,41.02468838,41.60885132,NA
1966,31.07995597,32.82014646,NA
1967,37.34856459,38.54875752,NA
1968,50.65600114,50.20528534,NA
1969,45.13547147,46.84572107,NA
1970,50.06909074,49.61669009,NA
1971,43.45824202,43.24186413,NA
1972,64.14695266,64.6372884,NA
1973,50.75264003,49.65314652,NA
1974,55.8899893,56.96211574,NA
1975,49.38120932,49.16960047,NA
1976,48.63396505,47.95811035,NA
1977,51.19952954,51.1075741,NA
1978,48.98502281,49.38732072,NA
1979,60.49088769,59.02727065,NA
1980,51.61746562,52.7817787,25
1981,57.57400199,57.79395247,21
1982,50.30574165,49.28060406,19
1983,46.56535497,47.26761148,25
1984,56.87105358,57.49389873,41
1985,41.89531193,42.1209428,47
1986,60.98575479,62.13964266,33
1987,46.83765914,48.45577906,47
1988,48.43997749,50.52526738,30
1989,43.81458072,45.62150182,49
1990,48.39945051,46.99929518,52
1991,60.46861568,62.24339262,47
1992,62.06938625,61.77289074,54
1993,64.23814605,63.97288655,40
1994,53.82508279,55.49062919,50
1995,56.72681183,56.29012937,37
1996,57.59748117,59.14577815,55
1997,58.69403209,61.06573859,65
1998,60.31755744,61.5838052,48
1999,77.30814676,79.51279326,58
2000,64.61756651,63.17047114,30
2001,54.74659813,57.16349897,111
2002,55.77901896,55.89991195,45
2003,62.0591711,64.8197555,78
2004,63.00919277,63.83228022,74
2005,69.84200462,71.86742929,65
2006,59.50016436,63.66899536,34
2007,75.17076519,70.52308482,54
2008,77.72817713,80.07406993,54
2009,68.60393455,87.13748741,51
2010,66.10026757,68.52124961,44
2011,70.39830135,88.69722666,63
2012,55.3888909,79.49641682,45
2013,74.9899964,72.24271001,46
2014,69.17475448,81.09560479,64
2015,64.37271165,72.14923094,98
2016,70.49014153,79.84221948,91
2017,59.07514175,90.90832124,104
2018,82.57342871,101.0924177,169
2019,69.06408068,88.89396526,148
2020,72.88513631,71.12792267,NA
2021,88.10139648,73.54257937,NA
2022,87.67232369,71.24021388,NA
2023,78.11554487,81.91721179,NA
2024,91.29637402,91.89439662,NA
2025,93.10836976,84.97144887,NA
2026,92.03380515,93.44436238,NA
2027,74.67805092,93.85680816,NA
2028,70.13238019,95.00865134,NA
2029,67.29009972,88.00922951,NA
2030,74.0815966,104.6069226,NA
2031,65.18846494,90.88649155,NA
2032,75.98829961,98.3684876,NA
2033,82.50696475,94.73636589,NA
2034,76.64778633,79.3268362,NA
2035,81.27208025,86.92806485,NA
2036,75.32479106,117.8319039,NA
2037,93.25933815,88.68981455,NA
2038,67.84178402,90.45034299,NA
2039,80.15801618,82.15846848,NA
2040,77.39885104,91.7541827,NA
2041,87.84154729,106.7930913,NA
2042,98.27328897,111.526678,NA
2043,85.82895428,107.2752538,NA
2044,97.11878372,110.1301439,NA
2045,99.73192052,106.5410308,NA
2046,90.42179936,118.1960811,NA
2047,79.78475607,111.4166433,NA
2048,78.42732697,130.8357093,NA
2049,104.1898805,119.0809035,NA
2050,110.2607119,127.7213741,NA
2051,93.43701915,124.4773962,NA
2052,88.8714817,102.7588518,NA
2053,80.6722871,131.1919536,NA
2054,93.88992432,130.0833186,NA
2055,105.144638,134.7570422,NA
2056,90.88448586,122.2076387,NA
2057,114.1440887,142.7035341,NA
2058,98.74926645,124.9065677,NA
2059,92.1501613,125.3673131,NA
2060,114.9909148,138.0454945,NA
2061,119.1891946,117.2480089,NA
2062,104.0916295,165.1853528,NA
2063,108.9382626,140.439438,NA
2064,99.51560431,142.6619934,NA
2065,71.08373409,126.621139,NA
2066,97.62822413,134.0069299,NA
2067,109.7410161,144.4318475,NA
2068,103.3412151,157.0514937,NA
2069,83.48528331,149.7629917,NA
2070,97.83651765,140.6515125,NA
2071,103.0427206,132.0182861,NA
2072,106.4419172,155.280201,NA
2073,110.3259922,162.8520289,NA
2074,106.843659,169.8462045,NA
2075,120.4482152,156.2518652,NA
2076,125.4612042,156.8829634,NA
2077,94.68131582,144.9496945,NA
2078,96.19045827,150.6297058,NA
2079,112.90254,158.0062704,NA
2080,122.7499421,174.6453473,NA
2081,116.250704,169.3115504,NA
2082,105.7831505,143.3980379,NA
2083,120.1055866,160.2213071,NA
2084,134.6217759,156.8079257,NA
2085,106.3091627,160.5342856,NA
2086,104.1720509,151.0273509,NA
2087,108.2404205,161.2033439,NA
2088,116.6623883,173.4220959,NA
2089,128.6579491,164.5891567,NA
2090,97.22770475,172.3341185,NA
2091,116.8071133,165.5006306,NA
2092,117.6392733,170.854316,NA
2093,128.0023454,175.4638821,NA
2094,126.5237883,159.0625322,NA
2095,81.21158534,174.5829202,NA
2096,94.1051436,179.2658035,NA
2097,119.5877751,177.0010961,NA
2098,111.014978,173.1449695,NA
2099,91.59481036,179.3234276,NA
2100,105.1479897,170.6580072,NA
