year,min.ice.RCP4.5,min.ice.RCP8.5,min.ice.obs,ext.ice.RCP4.5,ext.ice.RCP8.5,ext.ice.obs
1951,59.81845206,61.36250271,NA,44.70502587,44.2982606,NA
1952,58.1185318,60.91058658,NA,55.9764745,55.48364225,NA
1953,45.48922174,48.30072326,NA,35.38273972,35.14748095,NA
1954,43.11470213,43.89893905,NA,61.56727648,61.22739678,NA
1955,49.5959059,50.47884385,NA,48.58775084,47.94762209,NA
1956,59.68226402,60.31205222,NA,45.86856235,45.26923964,NA
1957,53.49841369,54.41959079,NA,62.32870257,61.68758353,NA
1958,52.40521106,54.18171244,NA,57.01200174,56.68267328,NA
1959,63.6515846,62.72432742,NA,65.14984611,64.57365413,NA
1960,43.94874462,44.55923915,NA,54.93149473,54.47701974,NA
1961,49.65633422,50.17722809,NA,53.7660586,53.34943399,NA
1962,58.45995495,58.0081757,NA,57.88635661,57.36691987,NA
1963,61.60349139,62.8568023,NA,50.02462354,49.37830427,NA
1964,52.96152344,52.06060696,NA,59.33661409,58.67618523,NA
1965,41.02468838,41.60885132,NA,68.97688459,68.7144169,NA
1966,31.07995597,32.82014646,NA,61.91111403,61.27721728,NA
1967,37.34856459,38.54875752,NA,79.47052899,79.0010996,NA
1968,50.65600114,50.20528534,NA,66.03517308,65.25752902,NA
1969,45.13547147,46.84572107,NA,56.70522234,56.13774398,NA
1970,50.06909074,49.61669009,NA,61.0033065,60.51942941,NA
1971,43.45824202,43.24186413,NA,64.11223227,63.58762385,NA
1972,64.14695266,64.6372884,NA,38.80578113,38.28693976,NA
1973,50.75264003,49.65314652,NA,58.39452263,57.80142559,NA
1974,55.8899893,56.96211574,NA,53.67457866,53.24493835,NA
1975,49.38120932,49.16960047,NA,66.81380961,66.10570527,NA
1976,48.63396505,47.95811035,NA,61.51163054,60.91335866,NA
1977,51.19952954,51.1075741,NA,59.68304791,59.02231999,NA
1978,48.98502281,49.38732072,NA,63.336193,62.70523906,NA
1979,60.49088769,59.02727065,NA,56.36171972,55.99412347,NA
1980,51.61746562,52.7817787,25,54.21897216,53.9177825,38
1981,57.57400199,57.79395247,21,53.78780313,53.32510406,28
1982,50.30574165,49.28060406,19,53.93448456,53.3615911,25
1983,46.56535497,47.26761148,25,59.06413075,58.33499914,14
1984,56.87105358,57.49389873,41,60.81675514,60.11476331,11
1985,41.89531193,42.1209428,47,62.29820856,61.82304264,17
1986,60.98575479,62.13964266,33,38.46220278,38.14008567,17
1987,46.83765914,48.45577906,47,50.69738328,50.21080834,18
1988,48.43997749,50.52526738,30,53.93816596,53.61980324,51
1989,43.81458072,45.62150182,49,52.75883266,52.2076708,52
1990,48.39945051,46.99929518,52,66.70336562,65.94732004,67
1991,60.46861568,62.24339262,47,51.84667752,51.27370655,59
1992,62.06938625,61.77289074,54,48.02222887,47.55977867,64
1993,64.23814605,63.97288655,40,47.01214828,46.44900662,52
1994,53.82508279,55.49062919,50,55.70467646,55.24188364,48
1995,56.72681183,56.29012937,37,53.81603963,53.3653811,78
1996,57.59748117,59.14577815,55,65.37844143,64.77039224,54
1997,58.69403209,61.06573859,65,47.96368507,47.37872917,46
1998,60.31755744,61.5838052,48,37.12385133,37.04330139,71
1999,77.30814676,79.51279326,58,35.19957164,34.9221525,69
2000,64.61756651,63.17047114,30,38.66812812,38.33443522,81
2001,54.74659813,57.16349897,111,37.37482199,37.26331088,9
2002,55.77901896,55.89991195,45,29.85272912,29.84953654,61
2003,62.0591711,64.8197555,78,35.59834148,35.28013815,42
2004,63.00919277,63.83228022,74,31.62969204,31.40452581,39
2005,69.84200462,71.86742929,65,32.59661091,32.45942069,30
2006,59.50016436,63.66899536,34,36.19716891,47.39119572,85
2007,75.17076519,70.52308482,54,27.6242085,44.84760184,56
2008,77.72817713,80.07406993,54,25.29118116,16.59613901,68
2009,68.60393455,87.13748741,51,38.6276418,22.4557727,74
2010,66.10026757,68.52124961,44,48.09601429,34.26219927,90
2011,70.39830135,88.69722666,63,43.63504026,23.90262769,66
2012,55.3888909,79.49641682,45,57.06740963,44.43451829,71
2013,74.9899964,72.24271001,46,34.44240769,37.42084255,76
2014,69.17475448,81.09560479,64,33.36122628,31.37346167,43
2015,64.37271165,72.14923094,98,33.17778854,28.66792941,19
2016,70.49014153,79.84221948,91,34.07876989,31.99796215,12
2017,59.07514175,90.90832124,104,26.05314601,27.88238944,29
2018,82.57342871,101.0924177,169,27.62469686,24.69735619,0
2019,69.06408068,88.89396526,148,28.76784483,30.86265749,2
2020,72.88513631,71.12792267,NA,22.36488701,21.74560733,33
2021,88.10139648,73.54257937,NA,18.75760237,28.72019008,NA
2022,87.67232369,71.24021388,NA,18.98467535,25.3562675,NA
2023,78.11554487,81.91721179,NA,29.66906908,37.87512187,NA
2024,91.29637402,91.89439662,NA,13.92302815,23.89698348,NA
2025,93.10836976,84.97144887,NA,15.92650412,27.49435098,NA
2026,92.03380515,93.44436238,NA,16.23422404,19.06386774,NA
2027,74.67805092,93.85680816,NA,29.49304764,17.08221344,NA
2028,70.13238019,95.00865134,NA,26.72125465,10.06016101,NA
2029,67.29009972,88.00922951,NA,39.14406736,18.20143029,NA
2030,74.0815966,104.6069226,NA,15.10356964,16.49210444,NA
2031,65.18846494,90.88649155,NA,32.15664087,11.67308246,NA
2032,75.98829961,98.3684876,NA,26.40730503,25.11534566,NA
2033,82.50696475,94.73636589,NA,19.54769859,8.048250023,NA
2034,76.64778633,79.3268362,NA,19.17332282,24.58013582,NA
2035,81.27208025,86.92806485,NA,29.42350934,19.44205152,NA
2036,75.32479106,117.8319039,NA,17.58301727,23.18373358,NA
2037,93.25933815,88.68981455,NA,19.40497469,23.12757321,NA
2038,67.84178402,90.45034299,NA,17.98152824,24.68616815,NA
2039,80.15801618,82.15846848,NA,20.93974879,18.71593815,NA
2040,77.39885104,91.7541827,NA,21.70974441,22.59608562,NA
2041,87.84154729,106.7930913,NA,21.6932015,18.35174403,NA
2042,98.27328897,111.526678,NA,14.49102145,18.70247967,NA
2043,85.82895428,107.2752538,NA,12.41406237,18.05460808,NA
