strata,layer.area,diff,M,Year
High,106.1098902,31.03313603,155.1656802,1988
Low,2206.145367,87.84862669,439.2431334,1988
LowE,2090.223553,100.9419903,504.7099515,1988
LowN,5880.98967,167.6255944,838.1279722,1988
LowS,2252.917733,100.583675,502.9183751,1988
Medium,289.7301843,58.24106944,291.2053472,1988
Mountains,6.512569369,2.877510605,14.38755303,1988
High,106.1098902,31.03313603,155.1656802,1989
Low,2206.145367,87.84862669,439.2431334,1989
LowE,2090.223553,100.9419903,504.7099515,1989
LowN,5880.98967,167.6255944,838.1279722,1989
LowS,2252.917733,100.583675,502.9183751,1989
Medium,289.7301843,58.24106944,291.2053472,1989
Mountains,6.512569369,2.877510605,14.38755303,1989
High,106.1098902,31.03313603,155.1656802,1990
Low,2206.145367,87.84862669,439.2431334,1990
LowE,2090.223553,100.9419903,504.7099515,1990
LowN,5880.98967,167.6255944,838.1279722,1990
LowS,2252.917733,100.583675,502.9183751,1990
Medium,289.7301843,58.24106944,291.2053472,1990
Mountains,6.512569369,2.877510605,14.38755303,1990
High,106.1098902,31.03313603,155.1656802,1991
Low,2206.145367,87.84862669,439.2431334,1991
LowE,2090.223553,100.9419903,504.7099515,1991
LowN,5880.98967,167.6255944,838.1279722,1991
LowS,2252.917733,100.583675,502.9183751,1991
Medium,289.7301843,58.24106944,291.2053472,1991
Mountains,6.512569369,2.877510605,14.38755303,1991
High,106.1098902,31.03313603,155.1656802,1992
Low,2206.145367,87.84862669,439.2431334,1992
LowE,2090.223553,100.9419903,504.7099515,1992
LowN,5880.98967,167.6255944,838.1279722,1992
LowS,2252.917733,100.583675,502.9183751,1992
Medium,289.7301843,58.24106944,291.2053472,1992
Mountains,6.512569369,2.877510605,14.38755303,1992
High,106.1098902,31.03313603,155.1656802,1993
Low,2206.145367,87.84862669,439.2431334,1993
LowE,2090.223553,100.9419903,504.7099515,1993
LowN,5880.98967,167.6255944,838.1279722,1993
LowS,2252.917733,100.583675,502.9183751,1993
Medium,289.7301843,58.24106944,291.2053472,1993
Mountains,6.512569369,2.877510605,14.38755303,1993
High,106.1098902,31.03313603,155.1656802,1994
Low,2206.145367,87.84862669,439.2431334,1994
LowE,2090.223553,100.9419903,504.7099515,1994
LowN,5880.98967,167.6255944,838.1279722,1994
LowS,2252.917733,100.583675,502.9183751,1994
Medium,289.7301843,58.24106944,291.2053472,1994
Mountains,6.512569369,2.877510605,14.38755303,1994
High,237.854923,51.1193381,255.5966905,1995
Low,1966.781022,90.94670548,454.7335274,1995
LowE,2090.223553,100.9419903,504.7099515,1995
LowN,5880.98967,167.6255944,838.1279722,1995
LowS,2252.917733,100.583675,502.9183751,1995
Medium,397.3494958,60.49186977,302.4593488,1995
Mountains,6.512569369,2.877510605,14.38755303,1995
High,237.854923,51.1193381,255.5966905,1996
Low,1966.781022,90.94670548,454.7335274,1996
LowE,2090.223553,100.9419903,504.7099515,1996
LowN,5880.98967,167.6255944,838.1279722,1996
LowS,2252.917733,100.583675,502.9183751,1996
Medium,397.3494958,60.49186977,302.4593488,1996
Mountains,6.512569369,2.877510605,14.38755303,1996
High,237.854923,51.1193381,255.5966905,1997
Low,1966.781022,90.94670548,454.7335274,1997
LowE,2090.223553,100.9419903,504.7099515,1997
LowN,5880.98967,167.6255944,838.1279722,1997
LowS,2252.917733,100.583675,502.9183751,1997
Medium,397.3494958,60.49186977,302.4593488,1997
Mountains,6.512569369,2.877510605,14.38755303,1997
High,237.854923,51.1193381,255.5966905,1998
Low,1966.781022,90.94670548,454.7335274,1998
LowE,2090.223553,100.9419903,504.7099515,1998
LowN,5880.98967,167.6255944,838.1279722,1998
