Year,Month,Day,Seat,Observer,Stratum,Transect,Segment,Flight_Dir,A_G_Name,Wind_Dir,Wind_Vel,Sky,Filename,Time,Delay,Species,Num,Obs_Type,Behavior,Distance,Code,Notes,ctran,closest,dist,Lon,Lat,itotal,ibb,total,sing1pair2,flock,class,strata,area,obs.area,strata.area,freq
2016,5,26,RR,TKZ,NA,49,NA,90,NA,ESE,8,ovrcast,YKD16043,52503.6,1,SPEI,5,flkdrake,NA,NA,1,NA,155,155,0.019706859,-165.0393,61.1238,5,0,5,0,5,s.flock,None,YKDV,0,0,0
2016,5,31,RR,TKZ,NA,46,NA,269,NA,NE,15,clear,YKD16113,54137.9,1.18,SPEI,5,flkdrake,NA,NA,1,NA,124,124,0.093159632,-165.1095,61.0801,5,0,5,0,5,s.flock,None,YKDV,0,0,0
2017,5,27,RR,TKZ,NA,26,NA,90,NA,sw,5,broken 1500,YKD17029,46150.1,3.02,SPEI,4,flkdrake,NA,NA,1,NA,49,49,0.011074019,-164.8884,60.8017,8,8,4,0,4,s.flock,None,YKDV,0,0,0
2017,5,27,RR,TKZ,NA,40,NA,270,NA,sw,5,broken 1500,YKD17036,50372.1,1.12,SPEI,4,flkdrake,NA,NA,1,NA,100,100,0.055608515,-165.0643,61.0029,8,8,4,0,4,s.flock,None,YKDV,0,0,0
2017,5,27,RR,TKZ,NA,40,NA,270,NA,sw,5,broken 1500,YKD17036,50405.6,1.07,SPEI,3,flkdrake,NA,NA,1,NA,100,100,0.115525311,-165.089,61.0013,6,6,3,0,3,s.flock,None,YKDV,0,0,0
2017,5,27,RR,TKZ,NA,41,NA,89,NA,sw,5,broken 1500,YKD17037,50864,1.56,SPEI,3,flkdrake,NA,NA,1,NA,105,105,0.015328806,-164.8467,61.0176,6,6,3,0,3,s.flock,None,YKDV,0,0,0
2017,5,27,RR,TKZ,NA,50,NA,269,NA,sw,5,broken 1500,YKD17041,55247.9,2.77,SPEI,4,flkdrake,NA,NA,1,NA,165,165,0.054766849,-165.5916,61.1437,8,8,4,0,4,s.flock,None,YKDV,0,0,0
2017,5,28,RR,TKZ,NA,49,NA,90,NA,sw,5,scattered 1500,YKD17066,53824,1.47,SPEI,4,flkdrake,NA,NA,1,NA,155,155,0.054311105,-165.5811,61.1284,8,8,4,0,4,s.flock,None,YKDV,0,0,0
2018,5,31,RR,TKZ,NA,42,NA,90,NA,S,7,1200 broken,YKD18082,45706.1,0.45,SPEI,4,flkdrake,NA,NA,1,NA,101,101,0.03165613,-165.0051,61.0059,8,8,4,0,4,s.flock,None,YKDV,0,0,0
2018,5,31,RR,TKZ,NA,52,NA,269,NA,S,7,1200 broken,YKD18085,49349,1.08,SPEI,3,flkdrake,NA,NA,1,NA,166,166,0.004046523,-165.6063,61.1467,6,6,3,0,3,s.flock,None,YKDV,0,0,0
