Year,icy_access,watery_access,icy_ccsm,watery_ccsm,icy_cmcc,watery_cmcc,icy_cnrm,watery_cnrm,icy_inm,watery_inm,icy_mpi,watery_mpi,icy_nasa,watery_nasa,icy_ncc,watery_ncc,Weighted.mean.icy,Weighted.mean.watery
1951,NA,NA,75,49,14,75,97,59,13,55,42,47,31,60,5,126,44.70502587,59.81845206
1952,NA,NA,71,60,56,58,126,47,14,84,35,26,28,70,6,135,55.9764745,58.1185318
1953,NA,NA,8,114,22,36,101,57,6,25,28,32,24,58,44,59,35.38273972,45.48922174
1954,NA,NA,78,51,51,55,107,58,16,53,28,29,66,26,49,41,61.56727648,43.11470213
1955,NA,NA,95,35,1,93,131,42,6,49,12,29,23,46,16,95,48.58775084,49.5959059
1956,NA,NA,94,30,9,92,124,40,0,102,10,28,0,54,19,101,45.86856235,59.68226402
1957,NA,NA,128,33,54,57,127,37,0,57,11,53,15,52,12,144,62.32870257,53.49841369
1958,NA,NA,99,45,41,41,99,49,16,100,46,14,0,69,42,57,57.01200174,52.40521106
1959,NA,NA,130,16,55,35,122,39,0,136,18,62,23,47,24,101,65.14984611,63.6515846
1960,NA,NA,49,64,87,19,122,34,12,31,15,67,36,37,6,112,54.93149473,43.94874462
1961,93,0,47,68,67,60,128,49,5,51,37,51,22,28,17,82,53.7660586,49.65633422
1962,70,67,67,72,39,61,132,26,0,103,23,60,53,25,23,84,57.88635661,58.45995495
1963,74,58,35,88,27,63,138,30,0,112,23,51,47,33,2,167,50.02462354,61.60349139
1964,81,57,87,45,29,78,133,37,1,82,4,52,34,19,31,58,59.33661409,52.96152344
1965,69,55,85,32,107,19,116,26,2,49,47,40,13,47,36,70,68.97688459,41.02468838
1966,84,32,103,44,32,20,122,34,9,39,37,23,25,20,6,106,61.91111403,31.07995597
1967,88,59,125,25,76,18,127,48,10,46,40,26,59,23,34,52,79.47052899,37.34856459
1968,106,43,112,36,35,64,107,33,6,65,12,57,50,38,13,104,66.03517308,50.65600114
1969,86,51,92,28,48,51,86,58,0,23,24,36,34,44,7,120,56.70522234,45.13547147
1970,91,61,110,13,32,29,78,55,8,74,23,53,15,32,58,46,61.0033065,50.06909074
1971,86,38,97,26,30,37,111,44,5,68,8,36,48,46,65,36,64.11223227,43.45824202
1972,65,58,29,93,23,65,100,57,10,79,11,61,0,55,20,88,38.80578113,64.14695266
1973,76,56,86,49,18,55,140,33,7,70,2,56,0,39,65,26,58.39452263,50.75264003
1974,48,69,92,62,46,27,127,41,0,69,0,53,29,59,22,97,53.67457866,55.8899893
1975,85,36,83,70,63,38,153,25,4,46,8,76,49,46,6,127,66.81380961,49.38120932
1976,94,49,53,41,58,37,122,47,0,62,27,63,36,27,31,59,61.51163054,48.63396505
1977,83,54,80,48,28,68,131,37,2,43,11,56,53,45,23,86,59.68304791,51.19952954
1978,82,53,82,50,53,56,141,30,13,38,17,42,18,75,21,62,63.336193,48.98502281
1979,52,70,88,49,46,47,129,24,0,111,3,71,12,37,56,58,56.36171972,60.49088769
1980,62,61,75,28,71,48,86,41,7,79,42,35,19,42,11,118,54.21897216,51.61746562
1981,65,53,86,48,42,36,111,61,3,52,28,66,4,68,20,83,53.78780313,57.57400199
1982,74,40,58,45,43,50,133,27,3,76,26,63,0,40,21,79,53.93448456,50.30574165
1983,89,39,75,66,38,49,133,39,8,27,17,60,26,42,7,125,59.06413075,46.56535497
1984,83,60,96,47,23,69,136,32,1,77,21,50,41,45,10,136,60.81675514,56.87105358
1985,71,34,93,53,36,31,131,45,2,45,30,44,28,46,42,50,62.29820856,41.89531193
1986,42,71,68,55,5,95,91,68,5,53,20,34,0,59,34,69,38.46220278,60.98575479
1987,74,61,57,59,57,27,91,55,13,15,18,65,26,22,8,146,50.69738328,46.83765914
1988,60,52,27,91,104,33,111,39,3,45,16,35,39,66,15,95,53.93816596,48.43997749
1989,74,52,50,48,49,9,116,45,5,68,8,37,44,29,17,119,52.75883266,43.81458072
1990,96,48,98,25,59,50,133,35,2,43,0,76,35,31,15,77,66.70336562,48.39945051
1991,92,44,41,91,50,51,95,68,3,58,44,56,12,64,9,138,51.84667752,60.46861568
1992,71,56,66,65,43,50,88,66,5,74,0,67,0,57,43,55,48.02222887,62.06938625
1993,85,57,89,40,34,37,50,43,0,119,10,74,35,39,2,145,47.01214828,64.23814605
1994,46,70,136,22,17,78,129,40,6,55,27,30,1,51,9,142,55.70467646,53.82508279
1995,63,51,70,60,52,61,121,46,7,64,28,62,2,54,19,67,53.81603963,56.72681183
1996,98,53,46,74,105,7,129,36,9,34,27,62,0,126,15,111,65.37844143,57.59748117
1997,76,73,49,76,56,58,106,39,2,51,13,47,0,59,4,167,47.96368507,58.69403209
1998,35,66,23,89,81,50,61,59,0,64,26,55,25,52,12,94,37.12385133,60.31755744
1999,64,60,0,181,67,33,54,82,4,111,21,70,1,70,26,107,35.19957164,77.30814676
2000,33,76,59,39,15,70,108,42,2,72,1,85,28,40,26,80,38.66812812,64.61756651
2001,21,82,0,162,102,17,110,41,1,44,4,59,2,37,16,83,37.37482199,54.74659813
2002,25,69,41,45,68,35,31,44,3,47,9,70,5,54,23,92,29.85272912,55.77901896
2003,47,63,17,123,63,38,81,81,20,43,0,59,0,53,12,132,35.59834148,62.0591711
2004,34,61,6,63,72,20,79,57,6,69,4,84,11,52,2,160,31.62969204,63.00919277
2005,32,75,3,105,58,58,77,89,0,97,22,50,30,37,16,103,32.59661091,69.84200462
2006,43,50,49,55,42,26,80,69,1,83,0,80,0,36,22,71,36.19716891,59.50016436
2007,33,80,0,176,51,50,76,64,7,62,0,110,2,36,20,101,27.6242085,75.17076519
2008,16,78,71,58,0,90,54,87,19,50,2,86,0,72,15,119,25.29118116,77.72817713
2009,20,92,86,54,32,73,102,56,3,47,9,75,0,48,5,166,38.6276418,68.60393455
2010,65,64,84,38,33,56,102,50,3,75,2,90,0,54,21,97,48.09601429,66.10026757
2011,100,67,23,86,65,70,66,54,1,81,7,57,0,80,6,141,43.63504026,70.39830135
2012,106,57,96,33,34,37,91,51,0,73,6,57,19,42,9,139,57.06740963,55.3888909
2013,41,97,78,47,7,132,48,64,24,57,23,57,0,66,21,70,34.44240769,74.9899964
2014,49,101,0,95,24,71,107,47,0,66,41,48,0,69,10,109,33.36122628,69.17475448
2015,36,76,37,67,12,79,97,63,16,55,18,45,19,52,1,178,33.17778854,64.37271165
