year_winter,eider_year,hi_ice
1979,1980,38
1980,1981,28
1981,1982,25
1982,1983,14
1983,1984,11
1984,1985,17
1985,1986,17
1986,1987,18
1987,1988,51
1988,1989,52
1989,1990,67
1990,1991,59
1991,1992,64
1992,1993,52
1993,1994,48
1994,1995,78
1995,1996,54
1996,1997,46
1997,1998,71
1998,1999,69
1999,2000,81
2000,2001,9
2001,2002,61
2002,2003,42
2003,2004,39
2004,2005,30
2005,2006,85
2006,2007,56
2007,2008,68
2008,2009,74
2009,2010,90
2010,2011,66
2011,2012,71
2012,2013,76
2013,2014,43
2014,2015,19
2015,2016,12
2016,2017,29
2017,2018,0
2018,2019,2
2019,2020,33
