"","year","extr_Lo"
"1",1979,25
"2",1980,21
"3",1981,19
"4",1982,25
"5",1983,41
"6",1984,47
"7",1985,33
"8",1986,47
"9",1987,30
"10",1988,49
"11",1989,52
"12",1990,47
"13",1991,54
"14",1992,40
"15",1993,50
"16",1994,37
"17",1995,55
"18",1996,65
"19",1997,48
"20",1998,58
"21",1999,30
"22",2000,111
"23",2001,45
"24",2002,78
"25",2003,74
"26",2004,65
"27",2005,34
"28",2006,54
"29",2007,54
"30",2008,51
"31",2009,44
"32",2010,63
"33",2011,45
"34",2012,46
"35",2013,64
"36",2014,98
"37",2015,91
"38",2016,104
"39",2017,169
"40",2018,148
