date	year	month	day	jday	doy	min4_bs0	min4_bs3
1/2/1979	1979	1	2	79002	2	0	0
1/4/1979	1979	1	4	79004	4	0	0
1/6/1979	1979	1	6	79006	6	0	0
1/8/1979	1979	1	8	79008	8	0	0
1/10/1979	1979	1	10	79010	10	0	0
1/12/1979	1979	1	12	79012	12	0	0
1/14/1979	1979	1	14	79014	14	0	0
1/16/1979	1979	1	16	79016	16	0	0
1/18/1979	1979	1	18	79018	18	0	0
1/20/1979	1979	1	20	79020	20	0	0
1/22/1979	1979	1	22	79022	22	0	0
1/24/1979	1979	1	24	79024	24	0	0
1/26/1979	1979	1	26	79026	26	0	0
1/28/1979	1979	1	28	79028	28	0	0
1/30/1979	1979	1	30	79030	30	0	0
2/1/1979	1979	2	1	79032	32	0	0
2/3/1979	1979	2	3	79034	34	46	37
2/5/1979	1979	2	5	79036	36	73	54
2/7/1979	1979	2	7	79038	38	92	77
2/9/1979	1979	2	9	79040	40	87	70
2/11/1979	1979	2	11	79042	42	72	61
2/13/1979	1979	2	13	79044	44	80	60
2/15/1979	1979	2	15	79046	46	76	59
2/17/1979	1979	2	17	79048	48	94	76
2/19/1979	1979	2	19	79050	50	82	51
2/21/1979	1979	2	21	79052	52	79	64
2/23/1979	1979	2	23	79054	54	99	77
2/25/1979	1979	2	25	79056	56	79	64
2/27/1979	1979	2	27	79058	58	100	94
3/1/1979	1979	3	1	79060	60	79	77
3/3/1979	1979	3	3	79062	62	98	98
3/5/1979	1979	3	5	79064	64	83	83
3/7/1979	1979	3	7	79066	66	90	87
3/9/1979	1979	3	9	79068	68	99	95
3/11/1979	1979	3	11	79070	70	97	96
3/13/1979	1979	3	13	79072	72	95	93
3/15/1979	1979	3	15	79074	74	96	93
3/17/1979	1979	3	17	79076	76	92	93
3/19/1979	1979	3	19	79078	78	90	90
3/21/1979	1979	3	21	79080	80	92	89
3/23/1979	1979	3	23	79082	82	92	93
3/25/1979	1979	3	25	79084	84	79	74
3/27/1979	1979	3	27	79086	86	72	72
3/29/1979	1979	3	29	79088	88	66	67
3/31/1979	1979	3	31	79090	90	84	83
4/2/1979	1979	4	2	79092	92	73	71
4/4/1979	1979	4	4	79094	94	68	53
4/6/1979	1979	4	6	79096	96	74	66
4/8/1979	1979	4	8	79098	98	93	92
4/10/1979	1979	4	10	79100	100	87	89
4/12/1979	1979	4	12	79102	102	90	87
4/14/1979	1979	4	14	79104	104	95	94
4/16/1979	1979	4	16	79106	106	95	93
4/18/1979	1979	4	18	79108	108	85	80
4/20/1979	1979	4	20	79110	110	87	73
4/22/1979	1979	4	22	79112	112	32	22
4/24/1979	1979	4	24	79114	114	0	14
4/26/1979	1979	4	26	79116	116	0	0
4/28/1979	1979	4	28	79118	118	0	0
4/30/1979	1979	4	30	79120	120	0	0
11/2/1979	1979	11	2	79306	306	0	0
11/4/1979	1979	11	4	79308	308	0	0
11/6/1979	1979	11	6	79310	310	0	0
11/8/1979	1979	11	8	79312	312	0	0
11/10/1979	1979	11	10	79314	314	0	0
11/12/1979	1979	11	12	79316	316	0	0
11/14/1979	1979	11	14	79318	318	0	0
11/16/1979	1979	11	16	79320	320	0	0
11/18/1979	1979	11	18	79322	322	0	0
11/20/1979	1979	11	20	79324	324	0	0
11/22/1979	1979	11	22	79326	326	0	0
11/24/1979	1979	11	24	79328	328	0	0
11/26/1979	1979	11	26	79330	330	0	0
11/28/1979	1979	11	28	79332	332	0	0
11/30/1979	1979	11	30	79334	334	0	0
12/2/1979	1979	12	2	79336	336	0	0
12/4/1979	1979	12	4	79338	338	0	0
12/6/1979	1979	12	6	79340	340	0	0
12/8/1979	1979	12	8	79342	342	0	0
12/10/1979	1979	12	10	79344	344	0	0
12/12/1979	1979	12	12	79346	346	0	0
12/14/1979	1979	12	14	79348	348	0	0
12/16/1979	1979	12	16	79350	350	0	0
12/18/1979	1979	12	18	79352	352	0	0
12/20/1979	1979	12	20	79354	354	14	11
12/22/1979	1979	12	22	79356	356	28	22
12/24/1979	1979	12	24	79358	358	42	33
12/26/1979	1979	12	26	79360	360	67	65
12/28/1979	1979	12	28	79362	362	81	66
12/30/1979	1979	12	30	79364	364	81	67
1/1/1980	1980	1	1	80001	1	77	37
1/3/1980	1980	1	3	80003	3	92	84
1/5/1980	1980	1	5	80005	5	100	92
1/7/1980	1980	1	7	80007	7	100	96
1/9/1980	1980	1	9	80009	9	100	99
1/11/1980	1980	1	11	80011	11	100	100
1/13/1980	1980	1	13	80013	13	97	97
1/15/1980	1980	1	15	80015	15	93	93
1/17/1980	1980	1	17	80017	17	96	96
1/19/1980	1980	1	19	80019	19	100	96
1/21/1980	1980	1	21	80021	21	98	98
1/23/1980	1980	1	23	80023	23	94	94
1/25/1980	1980	1	25	80025	25	100	100
1/27/1980	1980	1	27	80027	27	100	96
1/29/1980	1980	1	29	80029	29	100	97
1/31/1980	1980	1	31	80031	31	100	93
2/2/1980	1980	2	2	80033	33	100	100
2/4/1980	1980	2	4	80035	35	99	100
2/6/1980	1980	2	6	80037	37	98	100
2/8/1980	1980	2	8	80039	39	96	95
2/10/1980	1980	2	10	80041	41	100	99
2/12/1980	1980	2	12	80043	43	98	96
2/14/1980	1980	2	14	80045	45	100	100
