"eider_year" "extreme_days"
"1" 1980 41
"2" 1981 31
"3" 1982 31
"4" 1983 21
"5" 1984 17
"6" 1985 17
"7" 1986 19
"8" 1987 24
"9" 1988 58
"10" 1989 56
"11" 1990 77
"12" 1991 77
"13" 1992 70
"14" 1993 60
"15" 1994 61
"16" 1995 89
"17" 1996 62
"18" 1997 56
"19" 1998 80
"20" 1999 79
"21" 2000 88
"22" 2001 12
"23" 2002 73
"24" 2003 47
"25" 2004 48
"26" 2005 38
"27" 2006 96
"28" 2007 66
"29" 2008 75
"30" 2009 86
"31" 2010 96
"32" 2011 73
"33" 2012 78
"34" 2013 85
"35" 2014 48
"36" 2015 22
"37" 2016 19
"38" 2017 31
"39" 2018 0
